lat,lon,bearing,image_path,way_id,node_id,offset_id
-38.166800,145.101597,177,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.166800\145.101597\177\gsv_0.jpg,204762387,367132842,-10
-38.166710,145.101590,357,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.166710\145.101590\357\gsv_0.jpg,204762387,367132842,0
-38.166710,145.101590,354,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.166710\145.101590\354\gsv_0.jpg,204762393,367132842,0
-38.166634,145.101580,354,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.166634\145.101580\354\gsv_0.jpg,204762393,367132842,10
-38.166634,145.101580,354,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.166634\145.101580\354\gsv_0.jpg,204762393,367132842,20
-38.165032,145.101555,190,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.165032\145.101555\190\gsv_0.jpg,204762393,7396411589,-20
-38.164944,145.101576,190,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.164944\145.101576\190\gsv_0.jpg,204762393,7396411589,-10
-38.164855,145.101597,10,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.164855\145.101597\10\gsv_0.jpg,204762393,7396411589,0
-38.164766,145.101617,10,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.164766\145.101617\10\gsv_0.jpg,204762393,7396411589,10
-38.164760,145.101619,10,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.164760\145.101619\10\gsv_0.jpg,204762393,7396411589,20
-38.164117,145.101912,203,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.164117\145.101912\203\gsv_0.jpg,12453751,638345458,-20
-38.164035,145.101957,203,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.164035\145.101957\203\gsv_0.jpg,12453751,638345458,-10
-38.163952,145.102002,22,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.163952\145.102002\22\gsv_0.jpg,12453751,638345458,0
-38.163868,145.102045,22,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.163868\145.102045\22\gsv_0.jpg,12453751,638345458,10
-38.163785,145.102087,22,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.163785\145.102087\22\gsv_0.jpg,12453751,638345458,20
-38.161794,145.103086,201,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.161794\145.103086\201\gsv_0.jpg,12453751,638345398,-20
-38.161710,145.103128,201,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.161710\145.103128\201\gsv_0.jpg,12453751,638345398,-10
-38.161626,145.103170,21,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.161626\145.103170\21\gsv_0.jpg,12453751,638345398,0
-38.161542,145.103211,21,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.161542\145.103211\21\gsv_0.jpg,12453751,638345398,10
-38.161459,145.103253,21,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.161459\145.103253\21\gsv_0.jpg,12453751,638345398,20
-38.160992,145.103751,201,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.160992\145.103751\201\gsv_0.jpg,61695933,768939447,0
-38.161076,145.103710,201,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.161076\145.103710\201\gsv_0.jpg,61695933,768939447,10
-38.161160,145.103669,201,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.161160\145.103669\201\gsv_0.jpg,61695933,768939447,20
-38.161539,145.103486,21,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.161539\145.103486\21\gsv_0.jpg,61695933,768939438,-20
-38.161623,145.103445,21,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.161623\145.103445\21\gsv_0.jpg,61695933,768939438,-10
-38.161707,145.103405,201,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.161707\145.103405\201\gsv_0.jpg,61695933,768939438,0
-38.161791,145.103363,201,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.161791\145.103363\201\gsv_0.jpg,61695933,768939438,10
-38.161875,145.103322,201,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.161875\145.103322\201\gsv_0.jpg,61695933,768939438,20
-38.163883,145.102339,21,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.163883\145.102339\21\gsv_0.jpg,61695933,768939466,-20
-38.163967,145.102298,21,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.163967\145.102298\21\gsv_0.jpg,61695933,768939466,-10
-38.164051,145.102257,201,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.164051\145.102257\201\gsv_0.jpg,61695933,768939466,0
-38.165421,145.101766,351,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.165421\145.101766\351\gsv_0.jpg,61695916,768939222,-20
-38.165421,145.101766,351,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.165421\145.101766\351\gsv_0.jpg,61695916,768939222,-10
-38.165503,145.101783,171,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.165503\145.101783\171\gsv_0.jpg,61695916,768939222,0
-38.173535,145.108020,148,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.173535\145.108020\148\gsv_0.jpg,172385134,1832927621,0
-38.173612,145.108080,148,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.173612\145.108080\148\gsv_0.jpg,172385134,1832927621,10
-38.173688,145.108140,148,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.173688\145.108140\148\gsv_0.jpg,172385134,1832927621,20
-38.173704,145.108152,328,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.173704\145.108152\328\gsv_0.jpg,172385134,2925788066,-20
-38.173780,145.108212,328,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.173780\145.108212\328\gsv_0.jpg,172385134,2925788066,-10
-38.173857,145.108272,148,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.173857\145.108272\148\gsv_0.jpg,172385134,2925788066,0
-38.173934,145.108332,148,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.173934\145.108332\148\gsv_0.jpg,172385134,2925788066,10
-38.174010,145.108392,148,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.174010\145.108392\148\gsv_0.jpg,172385134,2925788066,20
-38.174929,145.109111,328,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.174929\145.109111\328\gsv_0.jpg,172385134,458415368,-20
-38.175005,145.109171,328,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.175005\145.109171\328\gsv_0.jpg,172385134,458415368,-10
-38.175082,145.109231,148,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.175082\145.109231\148\gsv_0.jpg,172385134,458415368,0
-38.175159,145.109290,149,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.175159\145.109290\149\gsv_0.jpg,172385134,458415368,10
-38.175236,145.109349,149,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.175236\145.109349\149\gsv_0.jpg,172385134,458415368,20
-38.175447,145.109511,329,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.175447\145.109511\329\gsv_0.jpg,172385134,458401333,-20
