filename,prefix,frame_num,lat,lon,altitude,heading,left_lane_pixels_bottom,left_lane_pixels_top
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0360.png,FILE210926-101400F,360,-38.1746490,145.1089140,84.900000,328.000000,204.62,0.32
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0372.png,FILE210926-101400F,372,-38.1746262,145.1088958,84.900000,327.976000,198.82,8.05
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0384.png,FILE210926-101400F,384,-38.1746034,145.1088776,84.900000,327.952000,213.07,1.56
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0396.png,FILE210926-101400F,396,-38.1745806,145.1088594,84.900000,327.928000,204.33,5.20
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0408.png,FILE210926-101400F,408,-38.1745578,145.1088412,84.900000,327.904000,172.40,11.69
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0420.png,FILE210926-101400F,420,-38.1745350,145.1088230,84.900000,327.880000,227.19,14.83
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0432.png,FILE210926-101400F,432,-38.1745122,145.1088052,84.900000,327.926000,218.27,14.75
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0444.png,FILE210926-101400F,444,-38.1744894,145.1087874,84.900000,327.972000,246.39,27.68
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0456.png,FILE210926-101400F,456,-38.1744666,145.1087696,84.900000,328.018000,211.42,13.58
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0468.png,FILE210926-101400F,468,-38.1744438,145.1087518,84.900000,328.064000,210.20,13.45
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0480.png,FILE210926-101400F,480,-38.1744210,145.1087340,84.900000,328.110000,242.48,1.69
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0492.png,FILE210926-101400F,492,-38.1743982,145.1087174,84.900000,328.252000,118.36,3.74
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0504.png,FILE210926-101400F,504,-38.1743754,145.1087008,84.900000,328.394000,127.69,6.55
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0516.png,FILE210926-101400F,516,-38.1743526,145.1086842,84.900000,328.536000,183.37,5.15
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0528.png,FILE210926-101400F,528,-38.1743298,145.1086676,84.900000,328.678000,163.93,6.84
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0540.png,FILE210926-101400F,540,-38.1743070,145.1086510,84.900000,328.820000,229.74,2.78
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0552.png,FILE210926-101400F,552,-38.1742844,145.1086338,84.900000,328.792000,167.23,9.46
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0564.png,FILE210926-101400F,564,-38.1742618,145.1086166,84.900000,328.764000,205.85,41.45
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0576.png,FILE210926-101400F,576,-38.1742392,145.1085994,84.900000,328.736000,196.50,30.58
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0588.png,FILE210926-101400F,588,-38.1742166,145.1085822,84.900000,328.708000,235.05,51.22
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0600.png,FILE210926-101400F,600,-38.1741940,145.1085650,84.900000,328.680000,181.74,13.52
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0612.png,FILE210926-101400F,612,-38.1741726,145.1085476,84.900000,328.500000,216.34,8.73
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0624.png,FILE210926-101400F,624,-38.1741512,145.1085302,84.900000,328.320000,182.06,13.17
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0636.png,FILE210926-101400F,636,-38.1741298,145.1085128,84.900000,328.140000,183.62,1.50
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0648.png,FILE210926-101400F,648,-38.1741084,145.1084954,84.900000,327.960000,221.92,3.57
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0660.png,FILE210926-101400F,660,-38.1740870,145.1084780,84.900000,327.780000,217.77,7.60
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0672.png,FILE210926-101400F,672,-38.1740656,145.1084612,84.900000,327.922000,197.87,25.19
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0684.png,FILE210926-101400F,684,-38.1740442,145.1084444,84.900000,328.064000,246.49,6.71
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0696.png,FILE210926-101400F,696,-38.1740228,145.1084276,84.900000,328.206000,269.98,8.50
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0708.png,FILE210926-101400F,708,-38.1740014,145.1084108,84.900000,328.348000,240.62,19.21
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0720.png,FILE210926-101400F,720,-38.1739800,145.1083940,84.900000,328.490000,196.14,12.48
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0732.png,FILE210926-101400F,732,-38.1739594,145.1083780,84.900000,328.442000,217.30,12.59
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0744.png,FILE210926-101400F,744,-38.1739388,145.1083620,84.900000,328.394000,245.74,9.06
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0756.png,FILE210926-101400F,756,-38.1739182,145.1083460,84.900000,328.346000,223.18,23.01
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0768.png,FILE210926-101400F,768,-38.1738976,145.1083300,84.900000,328.298000,241.23,13.57
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0780.png,FILE210926-101400F,780,-38.1738770,145.1083140,84.900000,328.250000,210.64,9.55
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0792.png,FILE210926-101400F,792,-38.1738580,145.1082990,84.900000,328.182000,239.39,25.76
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0804.png,FILE210926-101400F,804,-38.1738390,145.1082840,84.900000,328.114000,271.91,16.94
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0816.png,FILE210926-101400F,816,-38.1738200,145.1082690,84.900000,328.046000,254.27,6.17
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0828.png,FILE210926-101400F,828,-38.1738010,145.1082540,84.900000,327.978000,202.77,15.77
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0840.png,FILE210926-101400F,840,-38.1737820,145.1082390,84.900000,327.910000,242.99,8.85
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0852.png,FILE210926-101400F,852,-38.1737642,145.1082252,84.900000,327.872000,287.08,42.36
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0864.png,FILE210926-101400F,864,-38.1737464,145.1082114,84.900000,327.834000,274.39,55.28
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0876.png,FILE210926-101400F,876,-38.1737286,145.1081976,84.900000,327.796000,264.80,29.34
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0888.png,FILE210926-101400F,888,-38.1737108,145.1081838,84.900000,327.758000,264.51,28.50
