filename,prefix,frame_num,lat,lon,altitude,heading,left_lane_pixels_bottom,left_lane_pixels_top
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0360.png,FILE210924-100801F,360,-38.2014240,145.1032860,130.500000,236.900000,250.27,7.30
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0372.png,FILE210924-100801F,372,-38.2014256,145.1032810,130.500000,236.548000,228.38,61.71
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0384.png,FILE210924-100801F,384,-38.2014272,145.1032760,130.500000,236.196000,222.83,22.05
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0396.png,FILE210924-100801F,396,-38.2014288,145.1032710,130.500000,235.844000,0.00,0.00
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0408.png,FILE210924-100801F,408,-38.2014304,145.1032660,130.500000,235.492000,179.85,10.32
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0420.png,FILE210924-100801F,420,-38.2014320,145.1032610,130.500000,235.140000,220.92,3.86
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0432.png,FILE210924-100801F,432,-38.2014334,145.1032532,130.500000,238.242000,195.83,22.77
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0444.png,FILE210924-100801F,444,-38.2014348,145.1032454,130.500000,241.344000,230.42,68.78
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0456.png,FILE210924-100801F,456,-38.2014362,145.1032376,130.500000,244.446000,273.02,85.24
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0468.png,FILE210924-100801F,468,-38.2014376,145.1032298,130.500000,247.548000,292.59,19.38
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0480.png,FILE210924-100801F,480,-38.2014390,145.1032220,130.500000,250.650000,240.35,51.00
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0492.png,FILE210924-100801F,492,-38.2014366,145.1032122,130.500000,255.778000,226.73,71.40
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0504.png,FILE210924-100801F,504,-38.2014342,145.1032024,130.500000,260.906000,241.20,122.98
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0516.png,FILE210924-100801F,516,-38.2014318,145.1031926,130.500000,266.034000,272.79,29.99
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0528.png,FILE210924-100801F,528,-38.2014294,145.1031828,130.500000,271.162000,258.42,126.16
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0540.png,FILE210924-100801F,540,-38.2014270,145.1031730,130.500000,276.290000,225.27,47.42
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0552.png,FILE210924-100801F,552,-38.2014200,145.1031646,130.500000,282.816000,241.76,121.65
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0564.png,FILE210924-100801F,564,-38.2014130,145.1031562,130.500000,289.342000,265.20,145.70
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0576.png,FILE210924-100801F,576,-38.2014060,145.1031478,130.500000,295.868000,253.24,90.66
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0588.png,FILE210924-100801F,588,-38.2013990,145.1031394,130.500000,302.394000,251.15,5.51
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0600.png,FILE210924-100801F,600,-38.2013920,145.1031310,130.500000,308.920000,248.61,22.30
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0612.png,FILE210924-100801F,612,-38.2013834,145.1031230,130.500000,311.490000,239.89,32.90
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0624.png,FILE210924-100801F,624,-38.2013748,145.1031150,130.500000,314.060000,244.99,67.76
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0636.png,FILE210924-100801F,636,-38.2013662,145.1031070,130.500000,316.630000,239.93,49.39
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0648.png,FILE210924-100801F,648,-38.2013576,145.1030990,130.500000,319.200000,228.72,64.09
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0660.png,FILE210924-100801F,660,-38.2013490,145.1030910,130.500000,321.770000,228.04,70.82
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0672.png,FILE210924-100801F,672,-38.2013400,145.1030824,130.500000,322.694000,207.33,74.32
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0684.png,FILE210924-100801F,684,-38.2013310,145.1030738,130.500000,323.618000,168.14,40.67
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0696.png,FILE210924-100801F,696,-38.2013220,145.1030652,130.500000,324.542000,241.79,37.01
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0708.png,FILE210924-100801F,708,-38.2013130,145.1030566,130.500000,325.466000,227.24,53.29
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0720.png,FILE210924-100801F,720,-38.2013040,145.1030480,130.500000,326.390000,217.34,38.38
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0732.png,FILE210924-100801F,732,-38.2012932,145.1030388,130.500000,326.350000,206.14,29.44
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0744.png,FILE210924-100801F,744,-38.2012824,145.1030296,130.500000,326.310000,187.59,27.88
