Model,Steps,train_TotalLoss,test_mAP,Train_FP,Train_FN,Test_FP,Test_FN
Faster RCNN,100,0.1172,0,0,457,0,136
Faster RCNN,2000,0.0852,0.293945,1,8,3,9
Faster RCNN,4000,0.0985,0.428875,0,8,1,2
Faster RCNN,6000,0.0298,0.430906,0,0,3,3
Faster RCNN,8000,0.0222,0.443913,0,0,1,2
Faster RCNN,10000,0.0292,0.46007,0,0,2,2
Faster RCNN,12000,0.011,0.458306,0,0,0,1
